Team,WinPct
Memphis,100.0
Ohio St,100.0
NC State,100.0
Georgia Tech,100.0
Tulane,100.0
Michigan St,100.0
Oregon,100.0
UNLV,100.0
Washington,100.0
Auburn,100.0
BYU,100.0
Texas A&M,100.0
Mississippi,100.0
LSU,100.0
Arizona,100.0
Illinois,100.0
UCF,100.0
Missouri,100.0
California,100.0
Mississippi St,100.0
Utah,100.0
Maryland,100.0
Florida St,100.0
Rutgers,100.0
Louisville,100.0
N Texas,100.0
Texas Tech,100.0
Vanderbilt,100.0
Nebraska,100.0
Houston,100.0
Navy,100.0
Oklahoma,100.0
Indiana,100.0
Georgia,100.0
Miami,100.0
Penn St,100.0
TCU,100.0
USC,100.0
Iowa St,100.0
Fresno St,75.0
Hawai'i,75.0
Iowa,66.7
Rice,66.7
South Carolina,66.7
New Mexico,66.7
SMU,66.7
Arizona St,66.7
New Mexico St,66.7
Alabama,66.7
Texas,66.7
Wake Forest,66.7
Minnesota,66.7
Syracuse,66.7
Southern Miss,66.7
Cincinnati,66.7
Virginia,66.7
Wyoming,66.7
North Carolina,66.7
W Kentucky,66.7
Tennessee,66.7
Delaware,66.7
Baylor,66.7
Louisiana Tech,66.7
Michigan,66.7
Washington St,66.7
Texas St,66.7
Pittsburgh,66.7
West Virginia,66.7
E Carolina,66.7
Toledo,66.7
Wisconsin,66.7
Kentucky,66.7
Temple,66.7
Buffalo,66.7
Old Dominion,66.7
Kansas,66.7
Purdue,66.7
Arkansas,66.7
Bowling Green,66.7
Utah St,66.7
UAB,66.7
S Florida,66.7
App State,66.7
Florida Intl,66.7
Boise St,50.0
Army,50.0
UL Monroe,50.0
Air Force,50.0
N Illinois,50.0
Colorado St,50.0
J Madison,50.0
Oklahoma St,50.0
San Diego St,50.0
Ohio,33.3
Jacksonville St,33.3
Stanford,33.3
Nevada,33.3
Kennesaw St,33.3
Georgia St,33.3
UConn,33.3
Georgia So,33.3
UTEP,33.3
Duke,33.3
Northwestern,33.3
Colorado,33.3
Florida Atlantic,33.3
Boston College,33.3
UTSA,33.3
Liberty,33.3
Tulsa,33.3
Ball St,33.3
Louisiana,33.3
Missouri St,33.3
Kent St,33.3
Troy,33.3
Marshall,33.3
Arkansas St,33.3
Clemson,33.3
Charlotte,33.3
Middle Tenn,33.3
C Michigan,33.3
Florida,33.3
S Alabama,33.3
Coastal Car,33.3
Kansas St,25.0
Oregon St,0.0
Miami OH,0.0
W Michigan,0.0
UMass,0.0
UCLA,0.0
Virginia Tech,0.0
Notre Dame,0.0
San Jose St,0.0
Akron,0.0
E Michigan,0.0
Sam Houston,0.0
